=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-9-19_15-5-29
====================================================================================
15:5:29 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
15:5:29 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
15:5:29 | [PermissionManager] Perm (MenuWebHooks) has been registered!
15:5:29 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
15:5:29 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
15:5:29 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
15:5:29 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
15:5:29 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
15:5:29 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
15:5:29 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
15:5:29 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
15:5:29 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
15:5:29 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
15:5:29 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
15:5:29 | [PermissionManager] Perm (EspToolsMenu) has been registered!
15:5:29 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
15:5:29 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
15:5:29 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
15:5:29 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
15:5:29 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
15:5:29 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
15:5:29 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
15:5:29 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
15:5:29 | [PermissionManager] Adding Super Admin (76561198363861269)
15:5:29 | [PermissionManager] Adding Super Admin (76561199350150099)
15:5:29 | [PermissionManager] Loaded UserGroups.json
15:5:29 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
15:5:29 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
15:5:29 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
15:5:29 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
15:5:29 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
15:5:29 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
15:5:29 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
15:5:29 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
15:5:29 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
15:5:29 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
15:5:29 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
15:5:29 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
15:5:29 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
15:5:29 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
15:5:29 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
15:5:29 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
15:5:29 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
15:5:29 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
15:5:29 | Building Sets Loaded: 2
15:5:30 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
15:5:30 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
15:7:46 | Player "Anubis" (steamId=76561198363861269) connected to server!
15:8:37 | "76561198363861269" (steamid=76561198363861269) teleported to (pos=<13730.099609, 21.812086, 13256.799805>)
15:8:37 | "Anubis": (steamid=76561198363861269) teleported to (pos=13730.1,0,13256.8)
15:8:43 | "76561198363861269" (steamid=76561198363861269) teleported to (pos=<13821.700195, 20.731201, 13224.599609>)
15:8:43 | "Anubis": (steamid=76561198363861269) teleported to (pos=13821.7,0,13224.6)
15:9:46 | "76561198363861269" (steamid=76561198363861269) teleported to (pos=<2662.500000, 435.487457, 15008.799805>)
15:9:46 | "Anubis": (steamid=76561198363861269) teleported to (pos=2662.5,0,15008.8)
15:10:50 | Player "Anubis" (steamId=76561198363861269) initiated disconnect process...
15:10:52 | Player "Anubis" (steamId=76561198363861269) disconnected early from server (EXIT NOW).
