=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2023-9-18_20-2-21
====================================================================================
20:2:21 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
20:2:21 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
20:2:21 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
20:2:21 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
20:2:21 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
20:2:21 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
20:2:21 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
20:2:21 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
20:2:21 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
20:2:21 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
20:2:21 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
20:2:21 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
20:2:21 | [PermissionManager] Perm (EspToolsMenu) has been registered!
20:2:21 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
20:2:21 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
20:2:21 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
20:2:21 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
20:2:21 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
20:2:21 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
20:2:21 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
20:2:21 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
20:2:21 | [PermissionManager] Adding Super Admin (76561198363861269)
20:2:21 | [PermissionManager] Adding Super Admin (76561199350150099)
20:2:21 | [PermissionManager] Loaded UserGroups.json
20:2:21 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
20:2:21 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
20:2:21 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
20:2:21 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
20:2:21 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
20:2:21 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
20:2:21 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
20:2:21 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
20:2:21 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
20:2:21 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
20:2:21 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
20:2:21 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
20:2:21 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
20:2:21 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
20:2:21 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
20:2:21 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
20:2:21 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
20:2:21 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
20:2:21 | Building Sets Loaded: 1
20:2:22 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
20:2:22 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
20:15:59 | Player "Anubis" (steamId=76561198363861269) connected to server!
20:17:38 | "Anubis" (steamid=76561198363861269) toggled godmode
20:17:50 | "76561198363861269" (steamid=76561198363861269) teleported to (pos=<3655.360107, 208.500641, 13306.700195>)
20:17:50 | "Anubis": (steamid=76561198363861269) teleported to (pos=3655.36,0,13306.7)
20:18:20 | "76561198363861269" (steamid=76561198363861269) teleported to (pos=<1903.060059, 432.326752, 14982.900391>)
20:18:20 | "Anubis": (steamid=76561198363861269) teleported to (pos=1903.06,0,14982.9)
20:18:43 | "Anubis" (steamid=76561198363861269) toggled freecam
20:19:20 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1947.894043, 444.477905, 15030.255859>)
20:19:32 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1839.528198, 440.829468, 15036.102539>)
20:20:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1897.479248, 443.792511, 15065.799805>)
20:20:21 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1937.730225, 452.116089, 15056.003906>)
20:20:27 | "Anubis" (steamid=76561198363861269) toggled freecam
20:22:15 | "Anubis" (steamid=76561198363861269) Spawned Item: (PredatorClaw)
20:22:15 | "Anubis" (steamid=76561198363861269) Spawned Item: (PredatorClaw)
20:22:23 | "Anubis" (steamid=76561198363861269) Spawned Item: (PredatorsDark)
20:23:3 | "Anubis" (steamid=76561198363861269) Spawned Item: (PredatorsDarkInv)
20:23:32 | "Anubis" (steamid=76561198363861269) Spawned Item: (FS_GausRifle)
20:23:35 | "Anubis" (steamid=76561198363861269) Spawned Item: (Mag_Bat_Gaus_10Rnd)
20:23:53 | "Anubis" (steamid=76561198363861269) Spawned Item: (Mag_Bat_Gaus_10Rnd)
20:24:24 | "Anubis" (steamid=76561198363861269) gave unlimited ammo to (steamid=76561198363861269)
20:28:20 | "Anubis" (steamid=76561198363861269) Spawned Item: (Snafu_PKP_250RND_Mag)
20:28:30 | "Anubis" (steamid=76561198363861269) Spawned Item: (Snafu_PKP_Black_GUN)
20:29:21 | "Anubis" (steamid=76561198363861269) Spawned Item: (PredatorClaw)
20:29:25 | "Anubis" (steamid=76561198363861269) Spawned Item: (PredatorClaw)
20:29:51 | "Anubis" (steamid=76561198363861269) Spawned Item: (PredatorsDark)
20:30:14 | "Anubis" (steamid=76561198363861269) Spawned Item: (PredatorsDark)
20:30:41 | "Anubis" (steamid=76561198363861269) Spawned Item: (PredatorsDark)
20:30:50 | "Anubis" (steamid=76561198363861269) Spawned Item: (PredatorsDark)
20:30:58 | "Anubis" (steamid=76561198363861269) Spawned Item: (PredatorsDark)
20:31:8 | "Anubis" (steamid=76561198363861269) Spawned Item: (PredatorsDark)
20:31:50 | "Anubis" (steamid=76561198363861269) Spawned Item: (PredatorClaw)
20:33:24 | [BuildingSetManager] Saved: $profile:VPPAdminTools/ConfigurablePlugins/BuildingSetManager/predadores.vpp
20:33:24 | "Anubis" (steamid=76561198363861269) created new building set (predadores)
20:34:0 | "Anubis" (steamid=76561198363861269) toggled freecam
20:34:30 | [BuildingSetManager] Saved: $profile:VPPAdminTools/ConfigurablePlugins/BuildingSetManager/predadores.vpp
20:34:30 | [BuildingSetManager] Saving & Reloading Building Set:predadores
20:34:30 | "Anubis" (steamid=76561198363861269) updated building set (predadores)
20:34:30 | [BuildingSetManager] Deleted file: predadores
20:34:30 | [BuildingSetManager] Saved: $profile:VPPAdminTools/ConfigurablePlugins/BuildingSetManager/predadores.vpp
20:34:34 | "Anubis" (steamid=76561198363861269) toggled freecam
20:34:42 | "Anubis" (steamid=76561198363861269) toggled freecam
20:34:54 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1699.153076, 448.911835, 13989.681641>)
20:34:57 | "Anubis" (steamid=76561198363861269) toggled freecam
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1849.877808, 434.925537, 14720.834961>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1854.228516, 434.995026, 14730.600586>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1854.259155, 434.996765, 14730.666992>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1854.286865, 434.998413, 14730.728516>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1854.316895, 435.000183, 14730.795898>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1854.345093, 435.001801, 14730.860352>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1855.448120, 435.066711, 14733.372070>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1857.569580, 435.227692, 14738.194336>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1857.639282, 435.229889, 14738.350586>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1857.696777, 435.231750, 14738.487305>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1858.700928, 435.284821, 14740.779297>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1860.962769, 435.407410, 14745.938477>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1860.993774, 435.411194, 14746.110352>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1860.912231, 435.421814, 14746.563477>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1860.809082, 435.429749, 14746.895508>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1861.140137, 435.455414, 14748.085938>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1863.379883, 435.534027, 14753.589844>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1863.885498, 435.486664, 14755.304688>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1863.830566, 435.475189, 14755.709961>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1863.734985, 435.463501, 14756.125000>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1866.017334, 435.395233, 14763.006836>)
20:37:0 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1866.670166, 435.418213, 14765.507813>)
20:37:1 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1866.600220, 435.407593, 14766.000977>)
20:37:1 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1866.650879, 435.409729, 14766.160156>)
20:37:1 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1866.699951, 435.411743, 14766.321289>)
20:37:1 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1870.859253, 435.057159, 14781.068359>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1872.515869, 435.016327, 14792.896484>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1872.485229, 435.014557, 14793.088867>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1872.511597, 435.012817, 14793.275391>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1872.537354, 435.010925, 14793.470703>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1872.560669, 435.009216, 14793.656250>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1872.604248, 435.005646, 14794.024414>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1873.473633, 434.793579, 14801.607422>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1873.802124, 434.758514, 14804.633789>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1873.798706, 434.754089, 14804.860352>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1873.815430, 434.752991, 14805.018555>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1874.324097, 434.756439, 14809.330078>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1874.618530, 434.735565, 14811.854492>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1874.650513, 434.732758, 14812.176758>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1874.885620, 434.702454, 14814.542969>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1875.211060, 434.663055, 14817.446289>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1875.502441, 434.628510, 14819.958008>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1875.515259, 434.631683, 14820.083008>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1875.917969, 434.784180, 14823.616211>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1876.191772, 434.888031, 14826.023438>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1876.212280, 434.896057, 14826.208984>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1876.433716, 434.874969, 14828.145508>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1876.869141, 434.838409, 14832.063477>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1877.315552, 434.871490, 14836.061523>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1877.327759, 434.875092, 14836.182617>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1877.446533, 434.904633, 14837.190430>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1877.535889, 434.927063, 14837.953125>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1877.548218, 434.930908, 14838.082031>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1877.560913, 434.934967, 14838.218750>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1877.976318, 435.017303, 14841.867188>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1878.584473, 434.908691, 14847.389648>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1878.616211, 434.909424, 14847.709961>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1878.985352, 434.939545, 14850.956055>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1879.118774, 434.970398, 14852.131836>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1879.132568, 434.974304, 14852.281250>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1879.142944, 434.977234, 14852.392578>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1879.352295, 435.014069, 14854.243164>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1879.661133, 435.053345, 14856.982422>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1879.675171, 435.055359, 14857.121094>)
20:37:2 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1879.873047, 435.074951, 14858.868164>)
20:37:3 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1880.201172, 435.109955, 14861.750977>)
20:37:3 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1880.547852, 435.150848, 14864.823242>)
20:37:3 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1880.714111, 435.160217, 14866.313477>)
20:37:3 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1880.730713, 435.161102, 14866.478516>)
20:37:3 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1880.842896, 435.174774, 14867.454102>)
20:37:3 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1880.922852, 435.186737, 14868.151367>)
20:37:3 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1880.937256, 435.189209, 14868.294922>)
20:37:3 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1881.409668, 435.260590, 14872.447266>)
20:37:3 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1881.757935, 435.312408, 14875.514648>)
20:37:3 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1881.774048, 435.315857, 14875.678711>)
20:37:3 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1882.192993, 435.393311, 14879.329102>)
20:37:3 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1882.584961, 435.441986, 14882.786133>)
20:37:3 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1882.802856, 435.461578, 14884.736328>)
20:37:3 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1882.822510, 435.463806, 14884.950195>)
20:37:3 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1882.838013, 435.465576, 14885.116211>)
20:37:3 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1883.143433, 435.496246, 14887.810547>)
20:37:12 | "Anubis" (steamid=76561198363861269) toggled freecam
20:37:31 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1877.262573, 517.048584, 15028.851563>)
20:37:32 | "Anubis" (steamid=76561198363861269) toggled freecam
20:37:38 | "Anubis" (steamid=76561198363861269) toggled freecam
20:37:44 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1871.830444, 524.242065, 15067.650391>)
20:37:45 | "Anubis" (steamid=76561198363861269) toggled freecam
20:38:12 | "Anubis" (steamid=76561198363861269) toggled freecam
20:38:51 | "Anubis" (steamid=76561198363861269) teleported to crosshair (pos=<1925.340332, 445.617950, 15076.087891>)
20:38:52 | "Anubis" (steamid=76561198363861269) toggled freecam
20:41:46 | "Anubis" (steamid=76561198363861269) Spawned Item: (Predator_Dog)
20:44:7 | "Anubis" (steamid=76561198363861269) Spawned Item: (Predator_Dog_02)
20:45:32 | "Anubis" (steamid=76561198363861269) Spawned Item: (Predator_Dog_03)
20:46:22 | "Anubis" (steamid=76561198363861269) Spawned Item: (Predator_01_Backpack)
20:46:25 | "Anubis" (steamid=76561198363861269) Spawned Item: (Predator_01_Gloves)
20:46:28 | "Anubis" (steamid=76561198363861269) Spawned Item: (Predator_01_Pants)
20:46:31 | "Anubis" (steamid=76561198363861269) Spawned Item: (Predator_01_Torso)
20:46:33 | "Anubis" (steamid=76561198363861269) Spawned Item: (Predator_01_Helmet)
20:46:33 | "Anubis" (steamid=76561198363861269) Spawned Item: (Predator_01_Boots)
21:15:20 | Player "Anubis" (steamId=76561198363861269) initiated disconnect process...
21:15:22 | Player "Anubis" (steamId=76561198363861269) disconnected early from server (EXIT NOW).
21:15:25 | Player "Anubis" (steamId=76561198363861269) disconnected from server.
