//CHER
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_Reais							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> Real_1, 	1					// Currency Classname, Currency Money Value
	<Currency> Real_2, 	2
	<Currency> Real_5, 	5
	<Currency> Real_10, 	10
	<Currency> Real_20, 	20
	<Currency> Real_50, 	50
	<Currency> Real_100, 	100
	<Currency> Real_200, 	200


<Trader> Consumiveis							// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetais							// Category Name
		CaninaBerry,		         	*,		100,		30	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,		        	*,		100,		30	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		100,		30	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		100,		30	// Sellvalue -1 means it can not be selled
		Hammer,					*,		600,		50
		Hacksaw,				*,		800,		100
		HandSaw,				*,		800,		100
		WeaponCleaningKit,			*,		1000, 		100
		KitchenKnife,				*,		1500,		100
		SteakKnife,				*,		900,		100
		HuntingKnife,				*,		2000,		100
		CanOpener,				*,		100,		10	
		FishingRod,				*,		1000,		100
		GardenLime,				*,		1000,		100
		LugWrench,				*,		400,		50
		Crowbar,				*,		400,		50
		Shovel,					*,		2000,		100
		Pickaxe,				*,		2000,		100
		SledgeHammer,				*,		1000,		10
		PipeWrench,				W,		500,		50
		Hatchet,			        *,		800,		200
		WoodAxe,				*,		1000,		100
		Sword,				        *,		1000,		100
		FirefighterAxe,				*,		1000,		100
		Binoculars,				*,		-1,		2000
		
		
	<Category> Eletrônicos
		Battery9V,				*,		500,		50
		PersonalRadio,				*,		100,		50
		Megaphone,				*,		5000,		2000
		ElectronicRepairKit,			*,		500,		50
		CableReel,				*,		500,		50
		BatteryCharger,				*,		1500,		600
		Rangefinder,				*,		600,		50
		BaseRadio,				*,		5000,		2000
		NVGoggles,				*,		15000,     	800

	<Category> Fogueira e Iluminação
		Chemlight_Blue,				*,		200,		150
		Chemlight_Green,			*,		200,		150
		Chemlight_Red,				*,		200,		150
		Chemlight_White,			*,		200,		150
		Chemlight_Yellow,			*,		200,		150
		Roadflare,				*,		400,		50
		Matchbox,				*,		600,		50
		Flashlight,				*,		600,		50
		PortableGasLamp,			*,		500,		50
		PortableGasStove,			*,		500,		50
		Headtorch_Black,			*,		400,		50
		Headtorch_Grey,				*,		400,		50
		Spotlight,				*,		6000,	        2000
	
	<Category> Suplimentos 
		Rope,					*,		400,		50
                MetalWire,				*,		800,		50
		EpoxyPutty,				*,		800,		50
		DuctTape,				*,		1000,		50
		XmasLights,				*,		500,		50
		HandcuffKeys,				*,		500,		50
		Handcuffs,				*,		500,		50
		MetalPlate,				*,		800,		100
		SmallProtectorCase,			*,		500,		30
		AmmoBox,				*,		5000,		800
		SmallGasCanister,			*,		200,		50
		MediumGasCanister,			*,		500,		50
		LargeGasCanister,			*,		1000,		80
		CanisterGasoline,			*,		1000,		500
		//NailBox,				*,		25000,		1000
		BarbedWire,				*,		950,		100
		CodeLock,				*,		25000,		800
		Barrel_Blue,				M,		10000,		1500
		Barrel_Green,				M,		10000,		1500
		Barrel_Red,				M,		10000,		1500
		Barrel_Yellow,				M,		10000,		1500
		SeaChest,				M,		4000,		400
		MediumTent,				*,		-1,		2000		
		CarTent,				*,		-1,		3200
		LargeTent,				*,		-1,		3000

	<Category> Itens MSP
		Msp_SantaPants,				*,		-1,		700
		Msp_SantaJacket,				*,		-1,		700
		Msp_Bunny,				*,		-1,		700
		Msp_Rabbit,				*,		-1,		700
		Msp_Egg_Blue,				*,		-1,		700 
		Msp_Egg_Pink,				*,		-1,		700 
		Msp_Egg_Red,				*,		-1,		700 
		Msp_Egg_Green,				*,		-1,		700 
		Msp_Egg_Purple,				*,		-1,		700 
		Msp_Egg_Yellow,				*,		-1,		700
		Msp_BeachBall,				*,		-1,		700
		Msp_BeachChair_Kit,				*,		-1,		700
		Msp_BeachChair,				*,		-1,		700
		Msp_BeachUmbrella,				*,		-1,		700
		Msp_BeachUmbrella_Stripes,				*,		-1,		700
		Msp_Floaties,				*,		-1,		700
		Msp_Floatie_Wheel,				*,		-1,		700
		Msp_Floatie_Unicorn,				*,		-1,		700
		Msp_Floatie_Unicorn_Rainbow,				*,		-1,		700 
		Msp_Floatie_Unicorn_BlueRainbow,				*,		-1,		700 
		Msp_Floatie_Unicorn_GreenRainbow,				*,		-1,		700 
		Msp_Floatie_Unicorn_PurpleRainbow,				*,		-1,		700 
		Msp_Floatie_Flamingo,				*,		-1,		700 
		Msp_KiddiePool_Kit,				*,		-1,		700
		Msp_KiddiePool,				*,		-1,		700 
		Msp_KiddiePool_Pink_Kit,				*,		-1,		700
		Msp_KiddiePool_Pink,				*,		-1,		700 
		Msp_KiddiePool_Yellow_Kit,				*,		-1,		700
		Msp_KiddiePool_Yellow,				*,		-1,		700 
		Msp_VolleyballNet_Kit,				*,		-1,		700
		Msp_VolleyballNet,				*,		-1,		700 
		Msp_Volleyball,				*,		-1,		700
		Msp_Water_Gun,				*,		-1,		700
		Msp_Water_Gun_Mag,				*,		-1,		700
		Msp_WitchHat,				*,		-1,		700
		MSP_WitchCauldron,				*,		-1,		700
		Msp_CoffinBox,				*,		-1,		700 
		Msp_MedievalGibbet_Kit,				*,		-1,		700
		Msp_MedievalGibbet,				*,		-1,		700
		Msp_MedievalGibbetWithMount_Kit,				*,		-1,		700
		Msp_MedievalGibbetWithMount,				*,		-1,		700
		Msp_WaterBarrel_Stand,				*,		-1,		700
		Msp_WaterBarrel_Stand_Darkwood,				*,		-1,		700
		Msp_WaterBarrel,				*,		-1,		700
		Msp_WaterBarrel_Plastic,				*,		10000,		700
		Msp_WaterBarrel_Plastic_Yellow,				*,		10000,		700
		Msp_WaterBarrel_Plastic_Green,				*,		10000,		700
		Msp_WaterBarrel_Plastic_Red,				*,		10000,		700
		Msp_WaterBarrel_Plastic_Black,				*,		10000,		700
		Msp_WaterBarrel_Plastic_White,				*,		10000,		700
		Msp_WaterBarrel_Darkwood,				*,		10000,		700
		Msp_WaterBarrel_Valve,				*,		10000,		700
		Msp_WaterBarrel_Valve_Darkwood,				*,		10000,		700
		Msp_WaterBarrel_Valve_Faucet,				*,		10000,		700
		Msp_Slouchie_Beige,				*,		1000,		300
		Msp_Slouchie_Black,				*,		1000,		300
		Msp_Slouchie_Blue,				*,		1000,		300
		Msp_Slouchie_Red,				*,		1000,		300
		Msp_BaseballBat,				*,		1000,		300

	<Category> Armazenamentos MSP
		Msp_StorageBox_Kit,				*,		50000,		700
		Msp_MilitaryLocker_Kit,				*,		50000,		700
		Msp_Locker_Kit,				*,		-1,		700
		Msp_SoloLocker_Kit,				*,		10000,		700
		Msp_SoloLocker_Black_Kit,				*,		10000,		700
		Msp_SoloLocker_White_Kit,				*,		10000,		700
		Msp_SoloLocker_Green_Kit,				*,		10000,		700
		Msp_SoloLocker_Red_Kit,				*,		10000,		700
		Msp_SoloLocker_RedRusty_Kit,				*,		10000,		700
		Msp_SoloLocker_Yellow_Kit,				*,		10000,		700
		Msp_SoloLocker_YellowRusty_Kit,				*,		10000,		700
		Msp_OldLocker_Kit,				*,		-1,		700
		Msp_OldLocker_Green_Kit,				*,		-1,		700
		Msp_FourDoor_MilitaryLocker_Kit,				*,		-1,		700
		Msp_FourDoor_MilitaryLocker_Green_Kit,				*,		-1,		700
		Msp_RifleSafe_Grey_Kit,				*,		10000,		700
		Msp_RifleSafe_Green_Kit,				*,		10000,		700
		Msp_RifleSafe_Purple_Kit,				*,		10000,		700
		Msp_RifleSafe_Tan_Kit,				*,		10000,		700
		Msp_Safe,				*,		-1,		700 
		Msp_ToolsBench_Blue_Kit,				*,		-1,		700
		Msp_ToolsBench_Grey_Kit,				*,		-1,		700
		Msp_ToolsBench_Red_Kit,				*,		-1,		700
		Msp_Bookcase_Kit,				*,		-1,		700
		Msp_MedicalBox_Kit,				*,		10000,		700
		Msp_Wardrobe_Brown_Kit,				*,		-1,		700 
		Msp_Wardrobe_Green_Kit,				*,		-1,		700
		Msp_Wardrobe_White_Kit,				*,		-1,		700
		Msp_GunCabinet_Kit,				*,		-1,		700
		Msp_GunRack_Kit,				*,		-1,		700
		Msp_DoubleGunRack_Kit,				*,		-1,		700
		Msp_FishingRodsRack_Kit,				*,		-1,		700
		Msp_WoodenGunRack_Kit,				*,		-1,		700
		Msp_Gunwall_Kit,				*,		-1,		700
		Msp_LargeAmmoBox,				*,		-1,		700
		Msp_GrenadeBox,				*,		-1,		700
		Msp_TackleBox,				*,		-1,		700 
		Msp_TackleBox_Black,				*,		-1,		700 
		Msp_CoolerBox,				*,		-1,		700 
		Msp_CoolerBox_Black,				*,		-1,		700 
		Msp_Basket_Rectangular 
		Msp_Basket_Wicker,				*,		-1,		700
		Msp_MedievalChest,				*,		-1,		700 
		Msp_TreasureChest,				*,		-1,		700
		Msp_AmericanAppleCrate,				*,		-1,		700 
		Msp_AppleCrate,				*,		-1,		700 
		Msp_PlasticCrate,				*,		-1,		700 
		Msp_AmmoCrate,				*,		-1,		700 
		Msp_MilitaryCrate_Brown,			*,		40000,		1000
		Msp_MilitaryCrate_Green,			*,		40000,		1000
		Msp_MilitaryCrate_Grey,				*,		40000,		1000
		Msp_MilitaryCrate_Olive,			*,		40000,		1000
		Msp_MilitaryCrate_Tan,				*,		40000,		1000
		Msp_StoneFireplace_Kit,				*,		-1,		1000
		Msp_MoskvaFridge_Blue_Kit,			*,		-1,		1000
		Msp_MoskvaFridge_Cream_Kit,			*,		-1,		1000
		Msp_MoskvaFridge_Red_Kit,			*,		-1,		1000
		Msp_SovietOkaFridge_Kit,			*,		-1,		1000
		Msp_SnowballFridge_Kit,				*,		-1,		1000
		Msp_GreenhouseWood_Kit,				*,		25000,		1000	
		Msp_DuffleBag_Green,				*,		5000,		600
		Msp_DuffleBag_Black,				*,		5000,		600
		Msp_DuffleBag_Blue,				*,		5000,		600
		Msp_DuffleBag_Red,				*,		5000,		600	
		
	<Category> Ursos de pelúcia
		Bear_Beige,				*,		10000,		2500
		Bear_Dark,				*,		10000,		2500
		Bear_Pink,				*,		10000,		2500
		Bear_White,				*,		10000,		2500

		
<Trader> Loja de armas
	<Category> Corpo a Corpo	
		BrassKnuckles_Shiny,			W,		800,		50
		StunBaton,				W,		800,		50
		Pipe,					W,		800,		50
		CattleProd,				W,		800,		50
		BaseballBat,				W,		800,		50
		NailedBaseballBat,			W,		800,		50
		
	<Category> Armas secundárias
		Flaregun,             		        W,		100,		100
		MakarovIJ70,			        W,		100,		100
		Deagle,					W,		135,		100
		Deagle_Gold,			        W,		1000,		500
		CZ75,					W,		135,		100
		FNX45,					W,		175,		100
		Glock19,				W,		300,		100
		MKII,					W,		320,		100
		Colt1911,				W,		340,		100
		Engraved1911,				W,		340,		100
		Magnum,			         	W,		300,		100
		Longhorn,			        W,		300,		100
		
	<Category> Rifles
		Izh18,					W,		1350,		380
		Mosin9130,				W,		2000,		380
		CZ527,					W,		1500,		380
		Winchester70,				W,		1800,		380
		SKS,					W,		1000,		380
		
	<Category> Espingardas
		Mp133Shotgun,				W,		500,		380
		Izh43Shotgun,				W,		900,		380
		Saiga,					W,		1500,		380
		
	<Category> Metralhadoras
		CZ61,					W,		700,		380
		UMP45,					W,		800,		380
		MP5K,					W,		1000,		380
		AKS74U,					W,		1100,		380
		PP19,					W,		1100,		380
		
	<Category> Rifles de assalto
		FAL,					W,		1000,	380
		AKM,					W,		1500,	380
		AK101,					W,		1500,	380
		AK74,					W,		1600,	380
		M4A1,					W,		1500,	380
		M4A1_Black,				W,		1500,	380
		M4A1_Green,				W,		1500,	380
		AugShort,				W,		1500,	380
		Aug,					W,		1500,	380
		M16A2,					W,		1500,	380
		FAMAS,					W,		1500,	380
		
	<Category> Rifles de precisão
		VSS,					W,		1600,	350
		Scout,					W,		1600,	350
		SVD,					W,		2000,	380
		ASVAL,					W,		2000,	380
		B95,					W,		2000,	380
		Repeater,			        W,		2000,	380
		CZ550,					W,		1600,	350
		CZ527,					W,		1600,	350
		CZ61,					W,		1600,	350
		CZ75,					W,		1600,	350
		Crossbow_Summer,			W,		1600,	350
		Crossbow_Wood,			        W,		1600,	350
		Crossbow_Black,				W,		1600,	350
		Crossbow_Autumn,			W,		1600,	350

	<Category> Armas SNAFU
                SNAFUAPS,                          W,		-1,			600
                SR3_Vikhr_Gun,                     W,		-1,		        600
		SN_Springfield,                    W,		-1,			800
		SN_Glock19,                        W,		-1,			700
		SN_Mp443,                          W,		-1,			700
		SNAFU_PL14HQP,                     W,		-1,			700
		SN_M9,                             W,		-1,			700
		ttp90,                             W,		-1,			700
		GCGN_Vityaz,                       W,		-1,			700
		Tec9_Gun,                          W,		-1,			700
		SNAFUVECTOR_9mm_GUN,               W,		-1,			700
		SNAFU_MP9_GUN,                     W,		-1,			700
		SNAFU_Fort12_GUN,                  W,		-1,			700
		SNAFU_MPX_GUN,                     W,		-1,			700
		SNAFU_Agram_GUN,                   W,		-1,			800
		SNAFUKH9,                          W,		-1,			800
		SNAFUSten,                         W,		-1,			800
		SNAFU_PDW_9mm,	                   W,		-1,			800
		SNAFUUzi,                          W,		-1,			800
		SN_USP,                            W,		-1,			800
		SNAFUVECTOR_45acp_GUN,             W,		-1,			800
		SNAFU_PDW_45ACP,	           W,		-1,			800
		SNAFUThompsonMk2,                  W,		-1,			800
		SNAFUSWM629,                       W,		-1,			800
		SNAFUChiappaRhino,                 W,		-1,			800
		SNAFUMagnum500,                    W,		-1,			800
		GCGN_MP7,                          W,		-1,			800
		SNAFUP90,                          W,		-1,			800
		SNAFU_Trenchgun,                   W,		-1,			800
		SNAFU_TP82S,                       W,		-1,			800
		SN_Auto_Shotgun,                   W,		-1,			800
		SN_M870,                           W,		-1,			800
		VR80_Gun,                          W,		-1,			800
		Spas12_Gun,                        W,		-1,			800
		tt870,                             W,		-1,			800
		AA12_Gun,                          W,		-1,			800
		SNAFUSR3_Vikhr,                    W,		-1,			800
		GCGN_M1Garand,                     W,		-1,			800
		SNAFU_M1918A2,                     W,		-1,			800
		SNAFUMarlin1895,                   W,		-1,			800
		SNAFU_AK12A,                       W,		-1,			800
		SNAFU_RPK16_Black,                 W,		-1,			800
		SNAFU_RPK16_Green,                 W,		-1,			800
		SNAFU_RPK16_Tan,                   W,		-1,			800
		SNAFU_AEK545_Gun,                  W,		-1,			800
		SNAFU_U100,                        W,		-1,			800
		GCGN_M4A1,                         W,		-1,			800
		SNAFU_CZ805_Gun,                   W,		-1,			800
		GCGN_HK416,                        W,		-1,			800
		ACR_Gun,                           W,		-1,			800
		M4_6933_Gun,                       W,		-1,			800
		IA2_Gun,                           W,		-1,			800
		SG550_Gun,                         W,		-1,			800
		MK18_Gun,                          W,		-1,			800
		SCAR_Gun,                          W,		-1,			800
		SNAFU_CALI_GUN,                    W,		-1,			800
		SNAFU_AK19,                        W,		-1,			800
		SNAFUTAR21_Black,                  W,		-1,			800
		SNAFUTAR21_Tan,                    W,		-1,			800
		SNAFUTAR21_Green,                  W,		-1,			800
		SNAFUFAMAS,                        W,		-1,			800
		SNAFUMk12,                         W,		-1,			800
		SNAFUSA80,                         W,		-1,			800
		HK416_Gun,                         W,		-1,			800
		SNAFUAUG,                          W,		-1,			800
		SNAFUAR15_SPR_Tan_GUN,             W,		-1,			800
		SNAFUAR15_SPR_Black_GUN,           W,		-1,			800
		SNAFUAUG_BK,                       W,		-1,			800
		SNAFU_ADAR_Modular16_GUN,          W,		-1,			800
		SNAFU_AR15_Modular16_GUN,          W,		-1,			800
		SNAFU_LVOA556_GUN,                 W,		-1,			800
		SNAFU_M4556_Modular14_GUN,         W,		-1,			800
		SNAFU_M4556_Modular16_GUN,         W,		-1,			800
		SNAFU_Saint556_Gun,                W,		-1,			800
		GCGN_M249,                         W,		-1,			2900
                SNAFUPPSh,                         W,		-1,			900
		SNAFU_SKS,                         W,		-1,			900
		GCGN_VEPR,                         W,		-1,			900
		SNAFUPPSKN,                        W,		-1,			900
		SNAFU_AK103A,                      W,		-1,			900
		SNAFURPD,                          W,		-1,			900
		SNAFU_MK4710Gun,                   W,		-1,			900
		SNAFU_MK4716Gun,                   W,		-1,			900
		SNAFU_KAC_Gun,                     W,		-1,			900
		SNAFUHoneyBadger_Black,            W,		-1,			900
		SNAFUHoneyBadger_Tan,              W,		-1,			900
		SNAFU_AR15SPRBK,                   W,		-1,			900
		SNAFU_AR15SPRTAN,                  W,		-1,			900
		SNAFU_M4300AC_10_GUN,              W,		-1,			900
		SNAFU_M4300AC_14_GUN,              W,		-1,			900
		SNAFU_M4300AC_16_GUN,              W,		-1,			900
		SNAFU_M4300AC_14DV_GUN,            W,		-1,			900
		SNAFU_M14,                         W,		-1,			900
		SNAFU_M76,                         W,		-1,			800
		SNAFU_FRF2,                        W,		-1,			800
		SNAFU_M48,                         W,		-1,			800
		GCGN_M110_Black,                   W,		-1,			800
		GCGN_M110_Green,                   W,		-1,			800
		GCGN_M110_Tan,                     W,		-1,			800
		SNAFU_SR25_Gun,                    W,		-1,			800
		SNAFU_Saint_Gun,                   W,		-1,			800
		SNAFURSASS_Wood_GUN,               W,		-1,			800
		SNAFURSASS_od_GUN,                 W,		-1,			800
		SNAFURSASS_dkmc_GUN,               W,		-1,			800
		GCGN_M700,                         W,		-1,			800
		SNHK417_Gun,                       W,		-1,			800
		SNSA58_Gun,                        W,		-1,			800
		SNAFUM1A_Black,                    W,		-1,			800
		SNAFUM1A_Green,                    W,		-1,			800
		SNAFUM1A_Tan,                      W,		-1,			800
		SNAFU_AK308,                       W,		-1,			800
		SNAFU_Saint_Gun,                   W,		-1,			800
		Snafu_ScarH_Black_GUN,             W,		-1,			800
		Snafu_ScarH_DKMC_GUN,              W,		-1,			800
		Snafu_ScarH_OD_GUN,                W,		-1,			800
		Snafu_ScarH_Snow_GUN,              W,		-1,			800
		ttscarl,                           W,		-1,			500
		ttr700,                            W,		-1,			500
		Snafu_ScarH_Tan_GUN,               W,		-1,			800
		Snafu_pkp_NBlack_GUN,              W,		-1,			800
		SNAFUM24_GUN,                      W,		-1,			850
		SNAFU_AWM_Gun,                     W,		-1,			850
		SNAFUM98B_Atac_GUN,                W,		-1,			850
		SNAFUM98B_Digi_GUN,                W,		-1,			850
		SNAFUM98B_Ger_GUN,                 W,		-1,			850
		SNAFUM98B_Mc_GUN,                  W,		-1,			850
		SNAFUM98B_Snow_GUN,                W,		-1,			850
		SNAFUM98B_Wood_GUN,                W,		-1,			850
		SNAFUT5000_Dkmcc_GUN,              W,		-1,			850
		SNAFUT5000_Snow_GUN,               W,		-1,			850
		SNAFUT5000_Wood_GUN,               W,		-1,			850
		SNAFUSRSA2,                        W,		-1,			850
		SNAFUTac21,                        W,		-1,			850
		SNAFUDVL10M2,                      W,		-1,			850
		SNAFU_MAR10_Black_GUN,             W,		-1,			850
		SNAFUGevar_Grey,                   W,		-1,			850
		SNAFUGevar_Black,                  W,		-1,			850
		SNAFUGevar_Green,                  W,		-1,			850
		SNAFUGevar_Tan,                    W,		-1,			850
		SNAFUKivaari_Black_GUN,            W,		-1,			850			
		SNAFUKivaari_Tan_GUN,              W,		-1,			850
		SNAFUKivaari_Grey_GUN,             W,		-1,			850
		SNAFUKivaari_Snow_GUN,             W,		-1,			850
		SNAFU_M300BK,	                   W,		-1,			2900
		SNAFU_M300TAN,	                   W,		-1,			2900
		SNAFU_M300Green,                   W,		-1,			2900
		GCGN_M200,                         W,		-1,		        2900
		SNAFU_M200Green,                   W,		-1,			2920
		SNAFU_M200SNOW,	                   W,		-1,			2920
		GCGN_M200_Tan,                     W,		-1,			2920
		Snafu_pkp_Black_GUN,               W,		-1,			2900
		SNAFUM96,                          W,		-1,			1950
		SNAFUGM6Lynx,                      W,		-1,	         	2900
		GCGN_M82_Barret,                   W,		-1,		        2900
		SNAFUAX50_GUN,                     W,		-1,	     	        2900
		SNAFU_AS50_GUN,                    W,		-1,		        2900
		SNAFUASh12,                        W,		-1,		        2900
		SNAFUVSSK,		           W,		-1,		        2900
		SNAFUAlligator,                    W,		-1,		        2900
		ttar9,                             W,		-1,		        850
	

	
   	<Category> Armas Velha Guarda
	        ArzzzM249SAW,  				                  W,		  -1,		  2200
	        ArzzzM240,  				                  W,		  -1,		  2200
	        ArzzzPKM,  				                  W, 		  -1,		  2200
	        ArzzzVSSK,  				                  W,		  -1, 		  2200
        	ArzzzBarret,  				                  W,		  -1, 		  2300
	        ArzzzM98B,   				                  W,		  -1,		  2300
        	ArzzzL96A1,  				                  W,		  -1,		  2200
        	ArzzzM200,   				                  W,		  -1,		  2200
        	ArzzzKSVK,  				                  W,		  -1,		  2200
        	ArzzzKORD,   				                  W,		  -1,		  2200
        	ArzzzMinigun,  				                  W,		  -1,		  2900
        	ArzzzSVD,  				                  W,		  -1, 		  2200
        	ArzzzM300,  				                  W,		  -1, 		  2200
        	ArzzzDROB,  				                  W,		  -1, 		  2200
        	ArzzzDROBShort,  				          W,		  -1, 		  2200
        	ArzzzM79,  				                  W,		  -1, 		  2200
			
			
<Trader> Suprimentos de armas
	<Category> Munição
		Ammo_380,				50,		100,		15
		Ammo_HuntingBolt,			10,		1000,		150
		Ammo_ImprovisedBolt_1,			10,		1000,		100
		Ammo_ImprovisedBolt_2,			10,		1000,		100
		Ammo_9x19,				50,		100,		15
		Ammo_22,				50,		100,		15
		Ammo_45ACP,				50,		100,		15
		Ammo_12gaPellets,			20,		300,		15
		Ammo_357,				50,		100,		15
		Ammo_12gaSlug,				20,		300,		15
		Ammo_12gaRubberSlug,			20,		300,		15
		Ammo_9x39,				40,		400,		25
		Ammo_9x39AP,				40,		400,		25
		Ammo_308Win,				40,		800,		80
		Ammo_545x39,				40,		800,		80
		Ammo_556x45,				40,		800,		80
		Ammo_762x39,				40,		800,		80
		Ammo_762x54,				40,		800,		80
		Ammo_762x54Tracer,			40,		900,		90			
		Ammo_556x45Tracer,			40,		900,		90
		Ammo_545x39Tracer,			40,		900,		90
		Ammo_308WinTracer,			40,		900,		90
		Ammo_762x39Tracer,			40,		900,		90
		Ammo_Flare,				2,		100,		25
	        Ammo_FlareBlue,				2,		100,		25
	        Ammo_FlareGreen,		         	2,		100,		25
	        Ammo_FlareRed,				2,		100,		25	
		// When changing Prices here keep in Mind that Players
		// can just unpack the Ammoboxes and sell the Ammo seperatly!
		// Originally the Ammoboxes buying Price is 20% less than
		// buying single Ammo. The Selling Price is the same as
		// selling the Ammo seperately.
        //<Category> Caixa de Munição
		//AmmoBox_380_35rnd,			*,		100,		15
		//AmmoBox_9x19_25rnd,			*,		100,		15
		//AmmoBox_45ACP_25rnd,			*,		100,		15
		//AmmoBox_22_50Rnd,			*,		100,		15
		//AmmoBox_12gaSlug_10Rnd,			*,		300,		15
		//AmmoBox_9x39_20Rnd,			*,		800,		80
		//AmmoBox_9x39AP_20Rnd,			*,		800,		80
		//AmmoBox_308Win_20Rnd,			*,		800,		80
		//AmmoBox_357_20Rnd,			*,		800,		80
		//AmmoBox_545x39_20Rnd,			*,		800,		80
		//AmmoBox_556x45_20Rnd,			*,		800,		80
		//AmmoBox_762x39_20Rnd,			*,		800,		80
		//AmmoBox_762x54_20Rnd,			*,		800,		80		
		//AmmoBox_308WinTracer_20Rnd,		*,		900,		90
		//AmmoBox_545x39Tracer_20Rnd,		*,		900,		90
		//AmmoBox_556x45Tracer_20Rnd,		*,		900,		90
		//AmmoBox_762x39Tracer_20Rnd,		*,		900,		90
		//AmmoBox_762x54Tracer_20Rnd,		*,		900,		90

        <Category> Munições SNAFU
		GCGN_Ammo_3006,				*,		20000,			1000
		GCGN_Ammo_408Chey,			*,		60000,			1000
		SNAFU_Ammo_338,				*,		40000,			1000
		GCGN_Ammo_762x51,                       *,		20000,			1000
		SNAFU_Ammo_300ACC,                      *,		20000,			1000
		SNAFU_Ammo_46x30,                       *,		6000,			800
		SNAFU_Ammo_5_7x28mm,                    *,		6000,			800
